time,data,data2,data3,data4
169,24675.0,234.0,345.0,456.0
170,24661.0,234.0,345.0,456.0
171,24641.0,234.0,345.0,456.0
172,24820.0,234.0,345.0,456.0
173,24878.0,234.0,345.0,456.0
174,24733.0,234.0,345.0,456.0
175,24863.0,234.0,345.0,456.0
176,24748.0,234.0,345.0,456.0
177,24791.0,234.0,345.0,456.0
178,24694.0,234.0,345.0,456.0
179,24699.0,234.0,345.0,456.0
180,24801.0,234.0,345.0,456.0
181,24709.0,234.0,345.0,456.0
182,24646.0,234.0,345.0,456.0
183,24694.0,234.0,345.0,456.0
184,25008.0,234.0,345.0,456.0
185,25100.0,234.0,345.0,456.0
186,25052.0,234.0,345.0,456.0
187,25047.0,234.0,345.0,456.0
188,24752.0,234.0,345.0,456.0
189,24129.0,234.0,345.0,456.0
190,24216.0,234.0,345.0,456.0
191,24467.0,234.0,345.0,456.0
192,24506.0,234.0,345.0,456.0
193,24670.0,234.0,345.0,456.0
194,24888.0,234.0,345.0,456.0
195,24868.0,234.0,345.0,456.0
196,24786.0,234.0,345.0,456.0
197,24955.0,234.0,345.0,456.0
198,24883.0,234.0,345.0,456.0
199,25057.0,234.0,345.0,456.0
200,24786.0,234.0,345.0,456.0
201,24931.0,234.0,345.0,456.0
202,24917.0,234.0,345.0,456.0
203,25090.0,234.0,345.0,456.0
204,25013.0,234.0,345.0,456.0
205,25052.0,234.0,345.0,456.0
206,24704.0,234.0,345.0,456.0
207,24685.0,234.0,345.0,456.0
208,24467.0,234.0,345.0,456.0
209,24593.0,234.0,345.0,456.0
210,24632.0,234.0,345.0,456.0
211,24801.0,234.0,345.0,456.0
212,24830.0,234.0,345.0,456.0
213,24854.0,234.0,345.0,456.0
214,24733.0,234.0,345.0,456.0
215,24921.0,234.0,345.0,456.0
216,24883.0,234.0,345.0,456.0
217,24579.0,234.0,345.0,456.0
218,24690.0,234.0,345.0,456.0
219,24704.0,234.0,345.0,456.0
220,24656.0,234.0,345.0,456.0
221,24665.0,234.0,345.0,456.0
222,24342.0,234.0,345.0,456.0
223,24424.0,234.0,345.0,456.0
224,24337.0,234.0,345.0,456.0
225,24574.0,234.0,345.0,456.0
226,24627.0,234.0,345.0,456.0
227,24120.0,234.0,345.0,456.0
228,24598.0,234.0,345.0,456.0
229,24352.0,234.0,345.0,456.0
230,24158.0,234.0,345.0,456.0
231,24071.0,234.0,345.0,456.0
232,24158.0,234.0,345.0,456.0
233,24144.0,234.0,345.0,456.0
234,24134.0,234.0,345.0,456.0
235,24086.0,234.0,345.0,456.0
236,24361.0,234.0,345.0,456.0
237,24453.0,234.0,345.0,456.0
238,24327.0,234.0,345.0,456.0
239,24337.0,234.0,345.0,456.0
240,24410.0,234.0,345.0,456.0
241,24419.0,234.0,345.0,456.0
242,24540.0,234.0,345.0,456.0
243,24559.0,234.0,345.0,456.0
244,24385.0,234.0,345.0,456.0
245,24356.0,234.0,345.0,456.0
246,24651.0,234.0,345.0,456.0
247,24719.0,234.0,345.0,456.0
248,25139.0,234.0,345.0,456.0
249,25153.0,234.0,345.0,456.0
250,25119.0,234.0,345.0,456.0
251,25168.0,234.0,345.0,456.0
252,25192.0,234.0,345.0,456.0
253,25182.0,234.0,345.0,456.0
254,25245.0,234.0,345.0,456.0
255,25264.0,234.0,345.0,456.0
256,25322.0,234.0,345.0,456.0
257,25288.0,234.0,345.0,456.0
258,25274.0,234.0,345.0,456.0
259,25240.0,234.0,345.0,456.0
260,25288.0,234.0,345.0,456.0
261,25327.0,234.0,345.0,456.0
262,25409.0,234.0,345.0,456.0
263,25424.0,234.0,345.0,456.0
264,25510.0,234.0,345.0,456.0
265,25713.0,234.0,345.0,456.0
266,25742.0,234.0,345.0,456.0
267,25641.0,234.0,345.0,456.0
268,25752.0,234.0,345.0,456.0
269,25815.0,234.0,345.0,456.0
270,25781.0,234.0,345.0,456.0
271,26244.0,234.0,345.0,456.0
272,26312.0,234.0,345.0,456.0
273,26244.0,234.0,345.0,456.0
274,26100.0,234.0,345.0,456.0
275,26201.0,234.0,345.0,456.0
276,26187.0,234.0,345.0,456.0
277,26201.0,234.0,345.0,456.0
278,26162.0,234.0,345.0,456.0
279,26138.0,234.0,345.0,456.0
280,26143.0,234.0,345.0,456.0
281,26240.0,234.0,345.0,456.0
282,26452.0,234.0,345.0,456.0
283,26307.0,234.0,345.0,456.0
284,26384.0,234.0,345.0,456.0
285,26283.0,234.0,345.0,456.0
286,26302.0,234.0,345.0,456.0
287,26365.0,234.0,345.0,456.0
288,26341.0,234.0,345.0,456.0
289,26215.0,234.0,345.0,456.0
290,26254.0,234.0,345.0,456.0
291,26302.0,234.0,345.0,456.0
292,26317.0,234.0,345.0,456.0
293,26244.0,234.0,345.0,456.0
294,26327.0,234.0,345.0,456.0
295,26312.0,234.0,345.0,456.0
296,26312.0,234.0,345.0,456.0
297,26399.0,234.0,345.0,456.0
298,26640.0,234.0,345.0,456.0
299,26694.0,234.0,345.0,456.0
300,26703.0,234.0,345.0,456.0
301,26500.0,234.0,345.0,456.0
302,26380.0,234.0,345.0,456.0
303,26428.0,234.0,345.0,456.0
304,26674.0,234.0,345.0,456.0
305,26418.0,234.0,345.0,456.0
306,26447.0,234.0,345.0,456.0
307,26607.0,234.0,345.0,456.0
308,26655.0,234.0,345.0,456.0
309,26602.0,234.0,345.0,456.0
310,26621.0,234.0,345.0,456.0
311,26920.0,234.0,345.0,456.0
312,27167.0,234.0,345.0,456.0
313,27201.0,234.0,345.0,456.0
314,27399.0,234.0,345.0,456.0
315,27519.0,234.0,345.0,456.0
316,27485.0,234.0,345.0,456.0
317,27751.0,234.0,345.0,456.0
318,27659.0,234.0,345.0,456.0
319,27703.0,234.0,345.0,456.0
320,27659.0,234.0,345.0,456.0
321,27485.0,234.0,345.0,456.0
322,27548.0,234.0,345.0,456.0
323,27640.0,234.0,345.0,456.0
324,27616.0,234.0,345.0,456.0
325,27563.0,234.0,345.0,456.0
326,27630.0,234.0,345.0,456.0
327,27572.0,234.0,345.0,456.0
328,27524.0,234.0,345.0,456.0
329,27418.0,234.0,345.0,456.0
330,27370.0,234.0,345.0,456.0
331,27210.0,234.0,345.0,456.0
332,27099.0,234.0,345.0,456.0
333,27114.0,234.0,345.0,456.0
334,27370.0,234.0,345.0,456.0
